Origin,Date_of_Variable_Modification,Map_to_OMOP,transferred_to_fairhub,Protected_or_open-source,EXTENSION_NEEDED,FORM_NAME,MOCA_FILE_FIELDNAME,MOCA_FILE_FIELDNAME_NAMING_UNIT,SRC_CODE,SRC_CODE_DESCRIPTION,UCUM_CONCEPT_ID,Example_Data,DATA_TYPE,VALUE_RANGE,Data_Description,Equivalent_NDA_MOCA_element_name,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,Choices_Calculations_OR_Slider_Labels,Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Column_Name ,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code  ,Ext_Notes
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Memory Trial 1(sec.),memorytrial1_time,memory_trial1_time,Time in seconds to perform the above task.,8555,5,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the words correctly repeated (1st trial),Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Memory Trial 1(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Memory Trial 2,,memory_trial2,Words correctly repeated (2nd trial),,5,Integer,0-5,Words correctly repeated (2nd trial),memory_2nd,2005200352,2005200352,Words correctly repeated (2nd trial) score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:broadMatch,1,,273805000,,AIREADI,MOCA,Memory Trial 2,Observation,Words correctly repeated (2nd trial),:skos:broadMatch:1:,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Memory Trial 2(sec.),memorytrial2_time,memory_trial2_time,Time in seconds to perform the above task.,8555,4,Integer,,Time in seconds to perform the above task.,none,2005200353,2005200353,Time in seconds to perform the words correctly repeated (2nd trial),Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Memory Trial 2(sec.),Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,open-source,No,MOCA (Version 8.1),Digit Span,,digitspan,Repeating digits score,44777566,2,Integer,0-2,Repeating digits score,attention_digit,4153980,,Digit span performance,Observation,SNOMED,Observable Entity,S,283884005,skos:exactMatch,1,,,,AIREADI,MOCA,Digit Span,Observation,Repeating digits score,283884005:skos:exactMatch:1:,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Digit Span(sec._,digitspan_time,digitspan_time,Time in seconds to perform the above task.,8555,6,Integer,,Time in seconds to perform the above task.,none,2005200354,2005200354,Time in seconds to perform the repeating digits task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Digit Span(sec._,Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Letter A,,lettera,Letter tapping score,44777566,0,Integer,0-1,Letter tapping score,attention_letter,2005200355,2005200355,Letter tapping score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Letter A,Observation,Letter tapping score,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),lettera_time,lettera_time,Time in seconds to perform the above task.,8555,23,Integer,,Time in seconds to perform the above task.,none,2005200356,2005200356,Time in seconds to perform the letter tapping task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Subtraction,,subtraction,Serial 7 subtraction score,44777566,3,Integer,0-3,Serial 7 subtraction score,attention_subtraction,2005200357,2005200357,Serial 7 subtraction score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Subtraction,Observation,Serial 7 subtraction score,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),subtraction_time,subtraction_time,Time in seconds to perform the above task.,8555,31,Integer,,Time in seconds to perform the above task.,none,2005200358,2005200358,Time in seconds to perform the serial 7 subtraction task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Repetition,,repetition,Repeats sentences II,,2,Integer,0-2,Repeats sentences II,mull_el_rs2,2005200359,2005200359,Repeats sentences II score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Repetition,Observation,Repeats sentences II,,
