Origin,Date_of_Variable_Modification,Map_to_OMOP,transferred_to_fairhub,Protected_or_open-source,Extension_Needed,FORM_NAME,MOCA_File_Fieldname,MOCA_File_Fieldname_Naming_Unit,SRC_CODE,SRC_CODE_DESCRIPTION,UCUM_Concept_ID,Target_Domain_ID,Example_Data,Data_Type,Value_Range,Data_Description,Equivalent_NDA_MOCA_element_name,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,Choices_Calculations_OR_Slider_Labels,Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Column_Name ,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code  ,Ext_Notes
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),clock_time,clock_visuospatial_executive_time,Time taken to do clock in seconds,8555,Measurement,9,Integer,,Time taken to do clock in seconds,none,2005200347,2005200347,Time taken to do clock in seconds,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time taken to do clock in seconds,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Naming (3 points),,naming,Animal name recall task,,Observation,3,Integer,0-3,Animal name recall task,naming,2005200348,2005200348,Animal name recall task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:broadMatch,1,,273656006,,AIREADI,MOCA,Naming (3 points),Observation,Animal name recall task,:skos:broadMatch:1:,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Naming(sec.),naming_time,naming_time,time in seconds to perform the animal name recall task,8555,Measurement,21,Integer,,time in seconds to perform the animal name recall task,none,2005200349,2005200349,time in seconds to perform the animal name recall task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Naming(sec.),Observation,time in seconds to perform the animal name recall task,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Memory Trial 1,,memory_trial1,Words correctly repeated (1st trial),,Observation,5,Integer,0-5,Words correctly repeated (1st trial),memory_1st,2005200350,2005200350,Words correctly repeated (1st trial),Measurement,AIREADI-MOCA,Observable Entity,S,,skos:broadMatch,1,,273805000,,AIREADI,MOCA,Memory Trial 1,Observation,Words correctly repeated (1st trial),:skos:broadMatch:1:,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Memory Trial 1(sec.),memorytrial1_time,memory_trial1_time,Time in seconds to perform the above task.,8555,Measurement,5,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Memory Trial 1(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Memory Trial 2,,memory_trial2,Words correctly repeated (2nd trial),,Observation,5,Integer,0-5,Words correctly repeated (2nd trial),memory_2nd,2005200352,2005200352,Words correctly repeated (2nd trial),Measurement,AIREADI-MOCA,Observable Entity,S,,skos:broadMatch,1,,273805000,,AIREADI,MOCA,Memory Trial 2,Observation,Words correctly repeated (2nd trial),:skos:broadMatch:1:,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Memory Trial 2(sec.),memorytrial2_time,memory_trial2_time,Time in seconds to perform the above task.,8555,Measurement,4,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Memory Trial 2(sec.),Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,open-source,No,MOCA (Version 8.1),Digit Span,,digitspan,Repeating digits score,44777566,Observation,2,Integer,0-2,Repeating digits score,attention_digit,4153980,,Digit span performance,Observation,SNOMED,Observable Entity,S,283884005,skos:exactMatch,1,,,,AIREADI,MOCA,Digit Span,Observation,Repeating digits score,283884005:skos:exactMatch:1:,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Digit Span(sec._,digitspan_time,digitspan_time,Time in seconds to perform the above task.,8555,Measurement,6,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Digit Span(sec._,Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Letter A,,lettera,Letter tapping score,44777566,Observation,0,Integer,0-1,Letter tapping score,attention_letter,2005200353,2005200353,Letter tapping score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Letter A,Observation,Letter tapping score,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),lettera_time,lettera_time,Time in seconds to perform the above task.,8555,Measurement,23,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Subtraction,,subtraction,Serial 7 subtraction score,44777566,Observation,3,Integer,0-3,Serial 7 subtraction score,attention_subtraction,2005200354,2005200354,Serial 7 subtraction score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Subtraction,Observation,Serial 7 subtraction score,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),subtraction_time,subtraction_time,Time in seconds to perform the above task.,8555,Measurement,31,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Repetition,,repetition,Repeats sentences II,,Observation,2,Integer,0-2,Repeats sentences II,mull_el_rs2,2005200355,2005200355,Repeats sentences II,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Repetition,Observation,Repeats sentences II,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),repetition_time,repetition_time,Time in seconds to perform the above task.,8555,Measurement,5,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Fluency,,fluency_language,Maximal one-minute recall of words beginning with 'F',,Observation,0,Integer,0-1,Maximal one-minute recall of words beginning with 'F',language_letter,2005200356,2005200356,Maximal one-minute recall of words beginning with 'F',Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Fluency,Observation,Maximal one-minute recall of words beginning with 'F',,
Changed,5/16/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),fluency_language_time,fluency_language_time,Time in seconds to perform the above task.,8555,Measurement,60,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Abstraction,,moca_abstraction,MOCA abstraction,,Observation,2,Integer,0-2,MOCA abstraction,mabst,2005200357,2005200357,MOCA abstraction,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Abstraction,Observation,MOCA abstraction,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),abstraction_time,moca_abstraction_time,Time in seconds to perform the above task.,8555,Measurement,9,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Delayed Recall,,delayed_recall_with_no_clue,MOCA delayed recall with no cue,,Observation,5,Integer,0-5,MOCA delayed recall with no cue,mdrnc,2005200358,2005200358,MOCA delayed recall with no cue,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Delayed Recall,Observation,MOCA delayed recall with no cue,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),delayedrecall_time,delayed_recall_with_no_clue_time,Time in seconds to perform the above task.,8555,Measurement,4,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Orientation,,moca_orientation,"MOCA orientation date, month, year, day, place, city",,Observation,6,Integer,0-6,"MOCA orientation date, month, year, day, place, city","modate, momon, moyear, moday, mopl, mocity",2005200359,2005200359,"MOCA orientation date, month, year, day, place, city",Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Orientation,Observation,"MOCA orientation date, month, year, day, place, city",,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),orientation_time,moca_orientation_time,Time in seconds to perform the above task.,8555,Measurement,6,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Original,4/5/2024,No,,protected,No,MOCA (Version 8.1),Subject's Gender,,sex_at_birth,Sex of subject at birth,,Person,Female,String,,Sex of subject at birth,sex,46235213,,Sex assigned at birth,Observation,LOINC,Clinical Observation,S,76689-9,skos:exactMatch,1,,,,AIREADI,,Subject's Gender,Observation,Sex of subject at birth,76689-9:skos:exactMatch:1:,
Original,10/31/2023,Yes,,open-source,No,MOCA (Version 8.1),Subject's Education,,years_of_education,Years of school education,9448,Observation,16,Integer,,Years of school education,years_of_school,42528764,,Years of education in number - Reported,Observation,LOINC,Clinical Observation,S,82590-1,skos:exactMatch,1,,,,AIREADI,,Subject's Education,Observation,Years of school education,82590-1:skos:exactMatch:1:,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Age Range,,age_years_at_interview,"pull down menu of 3-4 year age spans, age in years",,Observation,24 - 26,Integer Range,,"pull down menu of 3-4 year age spans, age in years","not exactly the same as interview_age, which is in months",2005200360,2005200360,"pull down menu of 3-4 year age spans, age in years",Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Age Range,Observation,"pull down menu of 3-4 year age spans, age in years",,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),MIS Score,,moca_combined_mis_score,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)",,Observation,15,Integer,0-15,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)","mdrnc, mdrcc, mdrmcc",2005200361,2005200361,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)",Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,MIS Score,Observation,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)",,
Original,10/31/2023,Yes,,open-source,No,MOCA (Version 8.1),Total Time,,moca_total_score_time,total time data for entire test,,Measurement,03 mins 28seconds,Time Duration,,total time data for entire test,none,1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,skos:closeMatch,0.75,,,,AIREADI,,Total Time,Observation,total time data for entire test,99423-6:skos:closeMatch:0.75:,
Original,10/31/2023,Yes,,open-source,No,MOCA (Version 8.1),Total Score,,moca_total_score,Montreal Cognitive Assessment Total Score,,Measurement,24,Integer,0-30,Montreal Cognitive Assessment Total Score,moca_total,37174522,,Montreal cognitive assessment score,Measurement,SNOMED,Observable Entity,S,1255891005,skos:exactMatch,1,,,,AIREADI,,Total Score,Observation,Montreal Cognitive Assessment Total Score,1255891005:skos:exactMatch:1:,
