Origin,DateofVariableModification,MaptoOMOP,transferred to fairhub,Protected or open-source?,Extension_Needed,FORM_NAME,MOCA File Fieldname,MOCA File Fieldname_Naming_Unit,SRC_CODE,SRC_CODE_DESCRITPION,UCUM_Concept_ID,Target_Domain_ID,Example Data,Data Type,Value Range,Data Description,Equivalent NDA MOCA element name (at https://nda.nih.gov/data_structure.htmlshort_name=moca01),TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,"Choices, Calculations, OR Slider Labels",Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Column_Name ,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code  ,Ext_Notes
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Memory Trial 2(sec.),memorytrial2_time,sec,seconds,8555,measurement,4,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Memory Trial 2(sec.),Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Digit Span,,attention_digit,,,observation,2,Integer,0-2,Repeating digits score,attention_digit,4153980,,Digit span performance,Observation,SNOMED,Observable Entity,S,283884005,skos:exactMatch,1,,,,AIREADI,MOCA,Digit Span,Observation,Repeating digits score,283884005:skos:exactMatch:1:,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Digit Span(sec._,digitspan_time,sec,,,measurement,6,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Digit Span(sec._,Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Letter A,,attention_letter,,,observation,0,Integer,0-1,Letter tapping score,attention_letter,2005200353,2005200353,Letter tapping score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Letter A,Observation,Letter tapping score,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),lettera_time,sec,seconds,8555,measurement,23,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Subtraction,,attention_subtraction,,,observation,3,Integer,0-3,Serial 7 subtraction score,attention_subtraction,2005200354,2005200354,Serial 7 subtraction score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Subtraction,Observation,Serial 7 subtraction score,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),subtraction_time,sec,seconds,8555,measurement,31,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Repetition,,repetition,,,observation,2,Integer,0-2,Repeats sentences II,mull_el_rs2,2005200355,2005200355,Repeats sentences II,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Repetition,Observation,Repeats sentences II,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),repetition_time,sec,,,measurement,5,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Fluency,,fluency_language,,,observation,0,Integer,0-1,Maximal one-minute recall of words beginning with 'F',language_letter,2005200356,2005200356,Maximal one-minute recall of words beginning with 'F',Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Fluency,Observation,Maximal one-minute recall of words beginning with 'F',,
